recipe_name,category,prep_time,ingredients,instructions,notes,favorite,source_link
Vegan Pho,,min,,,"Tags: vegan,gf,vietnamese,asian | Rating: 5.0 | Would make again: yes | Notes: Tyler's recommendation!",FALSE,https://www.gimmesomeoven.com/vegetarian-vegan-pho-recipe/#tasty-recipes-63438-jump-target
One Pot Moroccan Quinoa,,35.0 min,,,"Tags: vegan,gf,healthy,moroccan | Rating: 4.5 | Would make again: yes | Notes: Delicious!",FALSE,https://dishingouthealth.com/one-pot-moroccan-quinoa/
"Cauliflower Steaks with Lemon-Caper Lentils and Harissa ""Hummus""",,65.0 min,,,"Tags: vegan,gf | Rating: 5.0 | Would make again: yes | Notes: Sooo good!",FALSE,https://dishingouthealth.com/cauliflower-steaks-lemon-caper-lentils-harissa-hummus/
Easy Vegan Ramen,,90.0 min,,,"Tags: vegan,gf,Asian | Rating: | Would make again: | Notes: Haven't made yet",FALSE,https://minimalistbaker.com/easy-vegan-ramen/#wprm-recipe-container-35499
Black Bean Tostadas with Avocado Salsa,,30.0 min,,,"Tags: vegan,gf,mexican | Rating: | Would make again: | Notes: Haven't made yet",FALSE,https://www.thissavoryvegan.com/black-bean-tostadas-with-avocado-salsa/#recipe
Vegan Cheese Sauce,Sauce,20 min,"1 1/2 cups raw cashews
 3/4 cup water
 1 medium jalape̱o pepper stem cut off
 2 tablespoons fresh lemon or lime juice
 1/4 cup nutritional yeast
 1/2 teaspoon garlic powder
 1/2 teaspoon onion powder
 1/2 teaspoon turmeric
 1/2 teaspoon salt
 1/4 teaspoon ground black pepper","Soak the cashews: Bring 3-4 cups of water to a boil (I use my tea kettle). Pour the hot water over the cashews and let soak for 5 minutes or up to an hour.
 Blend: Drain the cashews, discard the soaking water and add to a high powered blender. Add the water, jalape̱o, lemon or lime juice, nutritional yeast, garlic powder, onion powder, turmeric, salt, pepper and blend until very smooth. Scrape down the sides of the blender if needed.
 The cheese sauce should be quite thick. If you want it more loose for pasta or nachos, add a little water and blend until you have reached your desired consistency. Taste; add more salt or seasonings as desired.
 
 If serving with pasta, there is no need to warm it on the stove. Just add to warm, drained and cooked noodles and stir. For serving with chips, I suggest warming it in a pot on the stovetop over medium heat, whisking until thick and warm.
 Store in a covered container in the refrigerator for 5-6 days. It can also be frozen, simply re-blend or whisk well once thawed.",,FALSE,https://www.noracooks.com/cashew-cheese/#wprm-recipe-container-22290
